                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97228,                 1.0697,                 1.0222,                0.76247,                0.60859,                0.64365,                0.49731,                0.79997,                0.68593,                 0.9213,               0.067081,             0.00033252,             0.00033252
                      2,                0.84078,                0.67475,                0.97259,                0.73727,                0.79115,                0.81445,                0.65545,                0.71226,                 0.5746,                0.89891,               0.034068,             0.00065267,             0.00065267
                      3,                0.81106,                0.62378,                0.96284,                0.80078,                0.83668,                0.86937,                0.70762,                0.66672,                0.51531,                 0.8818,              0.0010413,             0.00095962,             0.00095962
                      4,                0.78601,                0.59527,                 0.9558,                0.84705,                0.80631,                0.87636,                0.68908,                 0.6656,                0.50071,                0.88508,              0.0009406,              0.0009406,              0.0009406
                      5,                0.75998,                0.56582,                0.94738,                0.77514,                0.82669,                 0.8551,                0.71361,                0.63231,                0.47965,                0.87677,              0.0009208,              0.0009208,              0.0009208
                      6,                0.74355,                0.54869,                0.94158,                0.80588,                0.82908,                0.88153,                0.73498,                0.61434,                0.46362,                0.87689,               0.000901,               0.000901,               0.000901
                      7,                0.72857,                0.53691,                 0.9377,                0.92198,                0.74405,                0.85224,                0.70559,                0.62183,                0.46461,                0.87425,              0.0008812,              0.0008812,              0.0008812
                      8,                0.71489,                0.52214,                0.93072,                 0.7862,                0.82523,                0.86612,                 0.7204,                0.60927,                0.45139,                0.87058,              0.0008614,              0.0008614,              0.0008614
                      9,                0.71025,                0.51465,                0.92964,                0.87389,                0.84388,                 0.8893,                0.73434,                0.62267,                0.44825,                0.87656,              0.0008416,              0.0008416,              0.0008416
                     10,                 0.6987,                0.50676,                  0.923,                0.83364,                0.84483,                0.88945,                0.74113,                0.60188,                0.43294,                0.86748,              0.0008218,              0.0008218,              0.0008218
                     11,                0.69095,                0.49563,                0.92102,                0.83422,                0.87947,                0.90183,                0.76314,                0.58868,                0.43018,                0.86424,               0.000802,               0.000802,               0.000802
                     12,                0.68404,                0.49443,                0.92003,                0.85832,                0.77128,                0.89475,                0.75721,                0.58145,                0.43579,                0.86151,              0.0007822,              0.0007822,              0.0007822
                     13,                0.67632,                0.48603,                0.91746,                0.82364,                0.85502,                0.88033,                0.74825,                0.57123,                0.42128,                0.85975,              0.0007624,              0.0007624,              0.0007624
                     14,                0.67222,                0.48199,                0.91434,                0.85644,                0.84959,                0.89378,                 0.7539,                0.56684,                0.41703,                0.85641,              0.0007426,              0.0007426,              0.0007426
                     15,                0.66307,                0.47591,                0.91402,                0.80654,                0.87293,                 0.8951,                0.75613,                0.56835,                0.41328,                 0.8588,              0.0007228,              0.0007228,              0.0007228
                     16,                0.66477,                0.47372,                0.91275,                0.85286,                0.84987,                0.89094,                0.75533,                0.55277,                  0.401,                 0.8481,               0.000703,               0.000703,               0.000703
                     17,                0.65828,                0.46991,                 0.9099,                0.85284,                 0.8456,                0.89606,                 0.7681,                0.55557,                0.40504,                0.85709,              0.0006832,              0.0006832,              0.0006832
                     18,                0.65207,                0.46291,                0.90891,                0.82104,                0.84272,                0.89212,                0.76544,                0.54966,                0.39728,                0.85586,              0.0006634,              0.0006634,              0.0006634
                     19,                0.64353,                 0.4578,                0.90597,                0.83842,                0.85398,                0.89799,                0.76818,                0.54318,                0.39413,                0.84694,              0.0006436,              0.0006436,              0.0006436
                     20,                0.64192,                0.45192,                0.90506,                0.82238,                0.86068,                0.89523,                0.77019,                0.53927,                0.39177,                0.85247,              0.0006238,              0.0006238,              0.0006238
                     21,                0.63992,                0.45195,                0.90437,                0.83941,                0.86735,                0.89021,                0.76691,                0.54328,                  0.388,                0.85258,               0.000604,               0.000604,               0.000604
                     22,                0.63422,                0.44674,                0.90174,                0.81041,                0.87577,                0.89833,                0.77072,                0.53178,                0.37946,                0.85052,              0.0005842,              0.0005842,              0.0005842
                     23,                0.63147,                0.44485,                0.90101,                0.85637,                0.88612,                0.90409,                0.77846,                  0.534,                0.38247,                0.84634,              0.0005644,              0.0005644,              0.0005644
                     24,                0.62609,                0.43972,                0.89909,                 0.8754,                0.86309,                0.90956,                0.78772,                0.52909,                0.38015,                 0.8429,              0.0005446,              0.0005446,              0.0005446
                     25,                 0.6209,                0.43445,                0.89704,                0.84283,                0.87379,                0.89651,                0.77564,                0.52838,                0.37597,                0.84769,              0.0005248,              0.0005248,              0.0005248
                     26,                0.61722,                0.43113,                0.89517,                0.83991,                0.86997,                0.89382,                0.77576,                0.52915,                0.37922,                0.84838,               0.000505,               0.000505,               0.000505
                     27,                0.61561,                0.42914,                0.89525,                0.81102,                0.90534,                0.89038,                0.77368,                0.51934,                0.37049,                0.84302,              0.0004852,              0.0004852,              0.0004852
                     28,                0.61112,                0.42753,                0.89463,                0.85535,                0.88466,                0.91278,                0.79515,                0.51925,                0.36774,                0.84353,              0.0004654,              0.0004654,              0.0004654
                     29,                0.61051,                0.42495,                0.89429,                0.87704,                0.86496,                0.90697,                0.78912,                0.51384,                0.36794,                0.84068,              0.0004456,              0.0004456,              0.0004456
                     30,                0.60514,                0.42219,                0.89238,                  0.859,                0.87495,                0.90151,                0.78676,                0.51351,                0.36399,                0.84106,              0.0004258,              0.0004258,              0.0004258
                     31,                0.59945,                0.41774,                0.89062,                0.84578,                0.88703,                0.91435,                0.80224,                0.50896,                0.36166,                0.83771,               0.000406,               0.000406,               0.000406
                     32,                0.59819,                 0.4153,                0.88952,                0.85503,                0.89179,                0.90313,                0.78974,                0.50813,                0.36048,                0.83963,              0.0003862,              0.0003862,              0.0003862
                     33,                0.59765,                0.41454,                 0.8889,                0.89341,                0.83805,                0.90678,                 0.7931,                0.50485,                0.35843,                0.83894,              0.0003664,              0.0003664,              0.0003664
                     34,                0.59058,                0.40937,                0.88774,                0.86812,                0.88538,                0.92699,                0.81389,                0.50347,                0.35439,                0.83932,              0.0003466,              0.0003466,              0.0003466
                     35,                0.58767,                0.40623,                0.88602,                0.88805,                0.88049,                  0.917,                 0.8037,                0.50301,                0.35616,                0.83912,              0.0003268,              0.0003268,              0.0003268
                     36,                0.58718,                0.40496,                 0.8848,                0.86697,                 0.8703,                0.91033,                0.80255,                0.49782,                0.35126,                0.83861,               0.000307,               0.000307,               0.000307
                     37,                0.58231,                0.40206,                0.88366,                 0.8877,                 0.8668,                0.91502,                0.80193,                0.49776,                0.35245,                0.83424,              0.0002872,              0.0002872,              0.0002872
                     38,                 0.5789,                 0.3993,                0.88394,                0.86936,                0.89627,                0.91653,                0.80786,                 0.4979,                0.35057,                 0.8352,              0.0002674,              0.0002674,              0.0002674
                     39,                0.57844,                0.39645,                0.88232,                0.85832,                0.90808,                0.91808,                0.80878,                 0.4974,                0.34857,                0.83432,              0.0002476,              0.0002476,              0.0002476
                     40,                0.57316,                0.39446,                0.88182,                 0.8454,                 0.8998,                0.91024,                0.80157,                0.49471,                0.34798,                0.83671,              0.0002278,              0.0002278,              0.0002278
                     41,                0.57083,                0.39087,                0.88096,                0.85728,                 0.8915,                0.91843,                0.81192,                0.48929,                 0.3442,                0.83291,               0.000208,               0.000208,               0.000208
                     42,                0.56545,                 0.3881,                0.87866,                0.85907,                0.91037,                0.92934,                0.81903,                0.49052,                0.34213,                0.83427,              0.0001882,              0.0001882,              0.0001882
                     43,                0.56643,                0.38771,                0.88037,                0.88676,                0.87691,                0.92979,                0.82058,                0.48811,                0.34153,                 0.8327,              0.0001684,              0.0001684,              0.0001684
                     44,                0.56301,                0.38457,                0.87786,                0.89063,                0.87682,                0.92251,                0.81603,                0.48635,                0.34123,                0.83152,              0.0001486,              0.0001486,              0.0001486
                     45,                0.56099,                0.38341,                 0.8766,                 0.8944,                0.88315,                0.92452,                0.81948,                0.48577,                0.34055,                0.83324,              0.0001288,              0.0001288,              0.0001288
                     46,                0.55558,                 0.3795,                0.87648,                0.86051,                0.91007,                 0.9278,                0.81971,                 0.4824,                0.33878,                0.83213,               0.000109,               0.000109,               0.000109
                     47,                0.55218,                0.37655,                0.87353,                0.86821,                0.91723,                0.92555,                0.81857,                0.48305,                  0.338,                 0.8313,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.55292,                0.37634,                0.87514,                0.87729,                0.90737,                0.92747,                0.82007,                0.48242,                0.33802,                0.82943,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.54766,                0.37215,                0.87363,                0.86269,                0.90151,                0.92754,                0.82074,                0.48162,                0.33649,                0.83162,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.54728,                0.37144,                 0.8721,                  0.867,                0.90966,                0.92725,                0.82357,                0.47917,                0.33614,                0.83049,               2.98e-05,               2.98e-05,               2.98e-05
